Kiosk ID,Kiosk Name,Kiosk Status,Latitude,Longitude,Location,,,,,,
2537,West & 6th St.,active,30.27041,-97.75046,"(30.27041, -97.75046)",,,left longitude,-97.7712,top latitude,30.28576
2572,Barton Springs Pool,active,30.26452,-97.7712,"(30.26452, -97.7712)",,,right longitude,-97.71002,bottom latitude,30.24891
2503,South Congress & James,active,30.25103,-97.74926,"(30.25103, -97.74926)",,,,,,
2548,UT West Mall @ Guadalupe,active,30.28576,-97.74181,"(30.28576, -97.74181)",,,,,,
2561,State Capitol Visitors Garage @ San Jacinto & 12th,active,30.27336,-97.73805,"(30.27336, -97.73805)",,,,,,
2565,Trinity & 6th Street,active,30.26735,-97.73933,"(30.26735, -97.73933)",,,,,,
2566,Pfluger Bridge @ W 2nd Street,active,30.26717,-97.75484,"(30.26717, -97.75484)",,,,,,
2571,Red River & 8th Street,active,30.26854,-97.73646,"(30.26854, -97.73646)",,,,,,
2574,Zilker Park,active,30.2659,-97.76822,"(30.2659, -97.76822)",,,,,,
2707,Rainey St @ Cummings,active,30.25579,-97.73982,"(30.25579, -97.73982)",,,,,,
2504,South Congress & Elizabeth,active,30.24891,-97.75019,"(30.24891, -97.75019)",,,,,,
2542,Plaza Saltillo,active,30.26217,-97.72743,"(30.26217, -97.72743)",,,,,,
3294,Guadalupe & 6th,active,30.26911,-97.7462,"(30.26911, -97.7462)",,,,,,
3377,MoPac Pedestrian Bridge @ Veterans Drive,active,30.27466,-97.77028,"(30.27466, -97.77028)",,,,,,
3513,South Congress & Barton Springs at the Austin American-Statesman,active,30.25839,-97.74592,"(30.25839, -97.74592)",,,,,,
3621,Nueces & 3rd,active,30.26697,-97.74929,"(30.26697, -97.74929)",,,,,,
3684,Congress & Cesar Chavez,active,30.26332,-97.74508,"(30.26332, -97.74508)",,,,,,
3685,Henderson & 9th,active,30.27217,-97.75246,"(30.27217, -97.75246)",,,,,,
3686,Sterzing at Barton Springs,active,30.26406,-97.76385,"(30.26406, -97.76385)",,,,,,
2538,Bullock Museum @ Congress & MLK,active,30.28039,-97.73809,"(30.28039, -97.73809)",,,,,,
2540,17th & Guadalupe,active,30.27974,-97.74254,"(30.27974, -97.74254)",,,,,,
2562,San Jacinto & 8th Street,active,30.26912,-97.73986,"(30.26912, -97.73986)",,,,,,
2570,South Congress & Academy,active,30.25226,-97.74854,"(30.25226, -97.74854)",,,,,,
2575,Riverside @ S. Lamar,active,30.26446,-97.75665,"(30.26446, -97.75665)",,,,,,
1007,Lavaca & 6th,active,30.26889,-97.74525,"(30.26889, -97.74525)",,,,,,
2544,East 6th & Pedernales St.,active,30.25895,-97.71475,"(30.25895, -97.71475)",,,,,,
2822,East 6th at Robert Martinez,active,30.26032,-97.71899,"(30.26032, -97.71899)",,,,,,
2823,Capital Metro HQ - East 5th at Broadway,active,30.2563,-97.71007,"(30.2563, -97.71007)",,,,,,
3291,11th & San Jacinto,active,30.27193,-97.73854,"(30.27193, -97.73854)",,,,,,
3292,East 4th & Chicon,active,30.25987,-97.72373,"(30.25987, -97.72373)",,,,,,
3293,East 2nd & Pedernales,active,30.25542,-97.71665,"(30.25542, -97.71665)",,,,,,
3390,Brazos & 6th,active,30.26754,-97.74154,"(30.26754, -97.74154)",,,,,,
3455,Republic Square @ Federal Courthouse Plaza,active,30.26753,-97.74805,"(30.26753, -97.74805)",,,,,,
3619,6th & Congress,active,30.26822,-97.74285,"(30.26822, -97.74285)",,,,,,
2496,8th & Congress,active,30.2698,-97.74186,"(30.2698, -97.74186)",,,,,,
2497,Capitol Station / Congress & 11th,active,30.2726,-97.74127,"(30.2726, -97.74127)",,,,,,
2499,City Hall / Lavaca & 2nd,active,30.26476,-97.74678,"(30.26476, -97.74678)",,,,,,
2549,Long Center @ South 1st & Riverside,active,30.25941,-97.74971,"(30.25941, -97.74971)",,,,,,
3464,Pease Park,active,30.28118,-97.75219,"(30.28118, -97.75219)",,,,,,
3635,13th & San Antonio,active,30.27616,-97.74488,"(30.27616, -97.74488)",,,,,,
3687,Boardwalk West,active,30.25457,-97.74258,"(30.25457, -97.74258)",,,,,,
1001,OFFICE/Main/Shop/Repair,active,30.27186,-97.73997,"(30.27186, -97.73997)",,,,,,
2567,Palmer Auditorium,active,30.25971,-97.75346,"(30.25971, -97.75346)",,,,,,
3660,Medina & East 6th,active,30.26455,-97.73165,"(30.26455, -97.73165)",,,,,,
2498,Convention Center / 4th St. @ MetroRail,active,30.26483,-97.739,"(30.26483, -97.739)",,,,,,
2539,Convention Center / 3rd & Trinity,active,30.26426,-97.74023,"(30.26426, -97.74023)",,,,,,
2563,Davis at Rainey Street,active,30.26019,-97.73845,"(30.26019, -97.73845)",,,,,,
2568,East 11th St. at Victory Grill,active,30.26896,-97.72843,"(30.26896, -97.72843)",,,,,,
2569,East 11th St. & San Marcos,active,30.26968,-97.73074,"(30.26968, -97.73074)",,,,,,
2502,Barton Springs & Riverside,active,30.2587,-97.74872,"(30.2587, -97.74872)",,,,,,
2711,Barton Springs @ Kinney Ave,active,30.262,-97.76118,"(30.262, -97.76118)",,,,,,
2494,2nd & Congress,active,30.26408,-97.74355,"(30.26408, -97.74355)",,,,,,
2495,4th & Congress,active,30.26634,-97.74378,"(30.26634, -97.74378)",,,,,,
2552,3rd & West,active,30.2678,-97.75189,"(30.2678, -97.75189)",,,,,,
2501,5th & Bowie,active,30.2696,-97.75332,"(30.2696, -97.75332)",,,,,,
2541,State Capitol @ 14th & Colorado,active,30.27654,-97.74155,"(30.27654, -97.74155)",,,,,,